Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
62,November - M111996,Punjab,Ludhiana,Punjab Pollution Control Board,"Residential, Rural and other Areas",13.9,34.9,NA,277
76,November - M111996,Punjab,Ludhiana,Punjab Pollution Control Board,Industrial Area,17.8,46.7,NA,438
301,November - M111996,Punjab,Gobindgarh,Punjab State Pollution Control Board,Industrial Area,15.9,42.1,NA,420
302,November - M111996,Punjab,Gobindgarh,Punjab State Pollution Control Board,"Residential, Rural and other Areas",18.8,44.6,NA,367
177,December - M121996,Punjab,Jalandhar,Punjab Pollution Control Board,NA,20.5,38.7,NA,279
176,December - M121996,Punjab,Jalandhar,Punjab Pollution Control Board,NA,21.1,29.3,NA,236
61,December - M121996,Punjab,Ludhiana,Punjab Pollution Control Board,Industrial Area,18,44.1,NA,402
62,December - M121996,Punjab,Ludhiana,Punjab Pollution Control Board,"Residential, Rural and other Areas",14.1,33.8,NA,304
76,December - M121996,Punjab,Ludhiana,Punjab Pollution Control Board,Industrial Area,19.7,48.3,NA,476
301,December - M121996,Punjab,Gobindgarh,Punjab State Pollution Control Board,Industrial Area,20.7,48.9,NA,433
