Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
560,28/05/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.5,19.7,NA,42
560,31/05/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.6,19.9,NA,42
560,6/3/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,6.8,17,NA,50
560,6/4/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.3,19.4,NA,42
560,6/7/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.4,19.3,NA,42
560,6/11/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.5,19.3,NA,42
560,14/06/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.3,19.3,NA,42
560,18/06/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.4,19.6,NA,42
560,21/06/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.3,19,NA,42
560,25/06/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.5,19.2,NA,42
560,28/06/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.4,19.4,NA,42
560,7/2/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7,18.1,NA,25
560,7/5/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.3,17.6,NA,26
