Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
3/2/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,2.7,8.2,46,72
3/6/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,NA,10.3,71,127
3/10/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,4,13.5,68,159
3/12/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.2,12,97,179
15-03-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4,11.5,96,267
19-03-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,8.7,10.8,71,192
22-03-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.5,9.6,95,218
27-03-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,5,15.2,76,222
30-03-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,2.7,12.2,112,295
4/3/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.3,12.8,90,234
4/6/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.3,9.9,77,234
4/10/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.3,11.5,39,134
13-04-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,NA,13,48,104
18-04-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.3,9.4,32,87
21-04-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,NA,10,32,77
24-04-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,NA,12.5,46,101
27-04-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.8,11.5,58,119
5/2/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,4,14.5,64,118
5/4/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.3,13,61,101
5/9/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.8,10.8,50,80
5/12/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,NA,NA,33,87
16-05-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.8,9.4,21,44
19-05-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,5,13.3,22,48
21-05-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.8,11.8,45,76
24-05-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,7.5,14,75,99
30-05-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.3,12,34,51
6/1/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.8,12.5,41,61
6/7/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.3,12,33,58
6/11/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,5,15.3,36,55
14-06-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,2.8,9.4,36,58
20-06-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4,11.5,33,46
23-06-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.5,13.8,23,31
25-06-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4,9.6,17,23
28-06-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.3,6.1,32,43
7/2/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.5,12,19,38
7/6/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.8,13.5,15,24
7/9/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.8,10.8,19,27
7/12/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.3,7.3,16,29
18-07-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.3,5.6,13,15
21-07-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3,5.9,14,27
23-07-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,2.5,6.1,14,26
25-07-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.3,9.1,17,31
8/1/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,2.5,5.6,14,25
8/4/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,NA,NA,17,40
8/6/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,5,9.4,25,46
8/9/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.8,12,20,44
13-08-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.5,9.4,24,48
17-08-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3,NA,22,36
20-08-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.3,7,24,40
23-08-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.8,5.9,22,44
27-08-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,2.5,5.6,19,35
30-08-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.3,7.8,36,63
9/5/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,2.5,7.3,19,34
9/8/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,2.5,7.8,24,43
9/12/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.3,9.1,31,57
15-09-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3,7.3,32,59
17-09-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4,9.4,38,72
20-09-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.8,12.3,44,83
24-09-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.8,10.4,28,51
27-09-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.8,9.4,37,69
10/1/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,5,12,24,43
10/5/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.3,7.5,34,53
10/8/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.3,9.6,38,62
10/11/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.8,12.8,25,68
18-10-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.3,9.1,21,34
19-10-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.3,8.6,25,39
22-10-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.5,9.1,32,61
24-10-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.3,10.4,22,36
11/2/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,4,11.3,40,78
11/8/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,6.8,11,31,53
11/9/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,9.8,13.5,24,41
11/12/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.8,9.4,48,88
15-11-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.3,10.6,85,130
19-11-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.3,8.6,76,106
22-11-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4,7.5,67,110
12/3/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.3,13.8,132,190
12/6/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,2.5,5.6,132,197
12/10/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.8,9.8,144,214
13-12-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.5,7.8,114,179
17-12-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.3,7.5,41,65
19-12-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.8,10.6,69,105
26-12-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4,13.3,41,73
29-12-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.3,12.5,90,138
1/3/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.5,10.8,68,103
1/4/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.3,6.8,118,165
1/10/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.3,11,85,132
1/11/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.8,11.6,39,63
17-01-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,NA,11.5,147,197
18-01-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.5,11.6,105,214
24-01-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,7.3,9.1,70,94
25-01-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,NA,18.5,31,49
2/7/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,NA,10.9,61,81
2/8/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.8,9.6,78,111
14-02-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.5,8.1,80,96
17-02-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5,8.3,86,130
27-02-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.5,10.3,43,64
28-02-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,NA,13,35,64
3/1/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,8.2,11.2,55,82
3/2/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.2,11.2,55,82
3/7/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.2,15.2,45,103
3/8/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.7,11.8,77,206
14-03-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,11.2,14.1,70,160
15-03-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,NA,12.5,67,148
21-03-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.2,10.1,97,219
22-03-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.5,8.3,91,161
28-03-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.7,10,103,207
29-03-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5,10,70,174
4/3/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.5,9.1,55,110
4/5/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.3,15,62,183
4/10/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.8,12.5,20,81
4/12/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5,14,38,165
17-04-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4,12.3,42,118
18-04-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.5,13,38,106
25-04-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.3,11.9,41,103
26-04-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5,13.8,57,90
5/2/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.3,13.3,45,77
5/4/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,7.8,7.8,76,127
5/8/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5,12,56,115
5/10/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.8,8.9,44,75
15-05-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,7,11.3,55,104
17-05-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.3,12.8,68,153
24-05-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6,13.3,31,95
25-05-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.3,14.5,39,98
29-05-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.5,11.1,30,90
30-05-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.3,16.5,20,55
20-06-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.8,12,31,139
21-06-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,7,15.5,40,57
27-06-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.5,8.6,39,77
28-06-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.3,13,41,103
7/6/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4,12.3,31,74
7/7/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.3,11.8,38,95
7/10/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3,7.8,22,101
7/12/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.5,8.3,64,130
18-07-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4,9.9,64,109
19-07-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6,14.3,54,103
25-07-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4,14.8,29,52
26-07-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.5,11,18,36
8/2/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.5,8.6,52,93
8/3/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.5,10.6,29,59
8/9/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.5,8.9,21,44
8/10/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,2.5,7.3,40,60
16-08-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.5,9.4,39,61
17-08-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.8,12.5,44,73
23-08-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.3,11.3,34,56
