Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
7,March - M032001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,63.5,67.9,NA,228
7,April - M042001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,54.9,55.4,NA,244
7,May - M052001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,53,58.2,NA,289
7,June - M062001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,47,54.7,NA,180
7,July - M072001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,34.5,44.3,NA,112
7,August - M082001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,37.3,46.3,NA,118
7,September - M092001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,42,50.1,NA,111
7,October - M102001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,41.1,49,NA,107
7,November - M112001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,51,57.6,NA,130
7,December - M122001,Uttar Pradesh,Anpara,Uttar Pradesh  Pollution Control Board,Industrial Area,55.7,63,NA,223
86,January - M012001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,Industrial Area,20.6,18.4,NA,541
86,February - M022001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,Industrial Area,20.8,16.8,NA,503
86,March - M032001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,Industrial Area,21.4,18.7,NA,468
86,April - M042001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,Industrial Area,21.8,20,NA,474
86,May - M052001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,Industrial Area,20.5,18.7,NA,475
86,June - M062001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,Industrial Area,20.2,17.3,NA,335
86,July - M072001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,Industrial Area,16.4,15,NA,326
86,August - M082001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,Industrial Area,17.3,15.1,NA,325
86,September - M092001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,Industrial Area,20.1,17.1,NA,331
86,October - M102001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,Industrial Area,20.5,18.1,NA,441
86,November - M112001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,Industrial Area,21,18.8,NA,530
86,December - M122001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,Industrial Area,19.4,16.9,NA,496
98,January - M012001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",19.3,16.8,NA,458
98,February - M022001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",21.4,16.8,NA,517
98,March - M032001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",21.4,19,NA,464
98,April - M042001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",19.8,16.9,NA,459
98,May - M052001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",20.1,17.6,NA,497
98,June - M062001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",19.8,17,NA,382
98,July - M072001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",17.4,13.2,NA,302
98,August - M082001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",16.9,16.4,NA,298
98,September - M092001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",18.9,16.5,NA,329
98,October - M102001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",17.7,16.2,NA,457
98,November - M112001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",19,15.7,NA,466
98,December - M122001,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,"Residential, Rural and other Areas",16.9,14,NA,396
109,January - M012001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,27.2,29.4,NA,237
109,February - M022001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,24.6,26.5,NA,235
109,March - M032001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,27.4,29,NA,237
109,April - M042001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,28.1,29.8,NA,242
109,May - M052001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,29.3,31.3,NA,294
109,July - M072001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,28.1,30,NA,236
109,August - M082001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,27.9,30.3,NA,231
109,September - M092001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,28.7,31.3,NA,249
109,October - M102001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,29,31.5,NA,243
109,November - M112001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,30.2,32.4,NA,345
109,December - M122001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,30.1,32.1,NA,349
113,January - M012001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,NA,NA,NA,244
113,February - M022001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,NA,NA,NA,231
113,March - M032001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,NA,NA,NA,249
113,April - M042001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,NA,NA,NA,260
113,May - M052001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,NA,NA,NA,244
113,July - M072001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,NA,NA,NA,228
113,August - M082001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,NA,NA,NA,231
113,September - M092001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,NA,NA,NA,220
113,October - M102001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,NA,NA,NA,230
113,November - M112001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,NA,NA,NA,260
113,December - M122001,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,NA,NA,NA,NA,237
139,January - M012001,Uttar Pradesh,Gajroula,NA,"Residential, Rural and other Areas",35.3,15.2,NA,506
139,February - M022001,Uttar Pradesh,Gajroula,NA,"Residential, Rural and other Areas",25.3,13.2,NA,275
139,April - M042001,Uttar Pradesh,Gajroula,NA,"Residential, Rural and other Areas",28.9,13.6,NA,316
139,May - M052001,Uttar Pradesh,Gajroula,NA,"Residential, Rural and other Areas",26.9,12.8,NA,369
139,June - M062001,Uttar Pradesh,Gajroula,NA,"Residential, Rural and other Areas",31.8,17.3,NA,303
139,July - M072001,Uttar Pradesh,Gajroula,NA,"Residential, Rural and other Areas",26.1,12.6,NA,157
139,August - M082001,Uttar Pradesh,Gajroula,NA,"Residential, Rural and other Areas",17.7,9.3,NA,130
139,September - M092001,Uttar Pradesh,Gajroula,NA,"Residential, Rural and other Areas",23.2,7.2,NA,169
139,October - M102001,Uttar Pradesh,Gajroula,NA,"Residential, Rural and other Areas",33.4,15.4,NA,230
139,November - M112001,Uttar Pradesh,Gajroula,NA,"Residential, Rural and other Areas",27.8,13.8,NA,207
139,December - M122001,Uttar Pradesh,Gajroula,NA,"Residential, Rural and other Areas",27.6,13.2,NA,247
140,January - M012001,Uttar Pradesh,Gajroula,NA,Industrial Area,42.4,16.8,NA,587
140,February - M022001,Uttar Pradesh,Gajroula,NA,Industrial Area,33.9,15.1,NA,624
140,March - M032001,Uttar Pradesh,Gajroula,NA,Industrial Area,34.5,14.8,NA,482
140,April - M042001,Uttar Pradesh,Gajroula,NA,Industrial Area,34.3,15.5,NA,465
140,May - M052001,Uttar Pradesh,Gajroula,NA,Industrial Area,33.4,14.2,NA,444
140,June - M062001,Uttar Pradesh,Gajroula,NA,Industrial Area,27.4,13.5,NA,492
140,July - M072001,Uttar Pradesh,Gajroula,NA,Industrial Area,34.8,15.7,NA,302
140,August - M082001,Uttar Pradesh,Gajroula,NA,Industrial Area,30.3,13.9,NA,242
140,September - M092001,Uttar Pradesh,Gajroula,NA,Industrial Area,32.1,12.5,NA,307
140,October - M102001,Uttar Pradesh,Gajroula,NA,Industrial Area,35.6,15.5,NA,313
140,November - M112001,Uttar Pradesh,Gajroula,NA,Industrial Area,38.5,14.7,NA,377
140,December - M122001,Uttar Pradesh,Gajroula,NA,Industrial Area,42.8,17.4,NA,385
141,January - M012001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",21,33.8,NA,391
141,February - M022001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",18.4,34.4,NA,300
141,March - M032001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",17.2,37.1,NA,293
141,April - M042001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",13.2,34.7,NA,431
