ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
Applications - Age Wise Wise,RPO Chandigarh,Between_36_to_60,3994,17365,102991,08-07-18
Applications - Age Wise Wise,RPO Chandigarh,GreaterThan60,742,3282,21139,08-07-18
Applications - Age Wise Wise,RPO Chandigarh,LessThan18,2416,10272,54998,08-07-18
Application Fee Online Payment - Mode Wise,RPO Chandigarh,Challan,1256200,4635950,30516350,08-07-18
Application Fee Online Payment - Mode Wise,RPO Chandigarh,Credit/ Debit Card,9510100,47941100,256898250,08-07-18
Application Fee Online Payment - Mode Wise,RPO Chandigarh,Online,8072750,35207800,209523250,08-07-18
Applications Received - Service Wise,RPO Chandigarh,FRESH,10797,44975,259380,08-07-18
Applications Received - Service Wise,RPO Chandigarh,PCC,411,2003,12496,08-07-18
Applications Received - Service Wise,RPO Chandigarh,REISSUE,4030,18141,109876,08-07-18
Applications Granted - PV Mode wise,RPO Chandigarh,No Verification,314,1377,11758,08-07-18
Applications Granted - PV Mode wise,RPO Chandigarh,Post Verification,2173,8726,54898,08-07-18
Applications Granted - PV Mode wise,RPO Chandigarh,Pre Verification,11657,44396,273844,08-07-18
PV Processing Time,RPO Chandigarh,More than 21 Days,2434,13694,52897,08-07-18
PV Processing Time,RPO Chandigarh,Within 21 Days,9952,43821,260230,08-07-18
Applications Received - Scheme wise,RPO Chennai,Normal,10198,41147,268505,08-07-18
Applications Received - Scheme wise,RPO Chennai,Tatkaal,298,1180,6925,08-07-18
Applications Received - Gender wise,RPO Chennai,FEMALE,3681,15584,104521,08-07-18
Applications Received - Gender wise,RPO Chennai,MALE,6814,26731,170850,08-07-18
Applications Received - Gender wise,RPO Chennai,TRANSGENDER,0,0,11,08-07-18
Applications with Aadhaar Number,RPO Chennai,Count of Applications,10495,42315,275382,08-07-18
Applications - Education Wise,RPO Chennai,10TH PASS AND ABOVE,2975,12378,75755,08-07-18
Applications - Education Wise,RPO Chennai,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Chennai,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Chennai,GRADUATE AND ABOVE,4775,19229,116940,08-07-18
Applications - Age Wise Wise,RPO Chennai,Between_18_to_35,5617,22924,133931,08-07-18
Applications - Age Wise Wise,RPO Chennai,Between_36_to_60,2990,11429,79052,08-07-18
Applications - Age Wise Wise,RPO Chennai,GreaterThan60,705,2870,21266,08-07-18
Applications - Age Wise Wise,RPO Chennai,LessThan18,1183,5092,41133,08-07-18
Application Fee Online Payment - Mode Wise,RPO Chennai,Challan,281650,925800,6589700,08-07-18
Application Fee Online Payment - Mode Wise,RPO Chennai,Credit/ Debit Card,5342900,25762950,159013250,08-07-18
Application Fee Online Payment - Mode Wise,RPO Chennai,Online,3933150,15060800,98349500,08-07-18
Applications Received - Service Wise,RPO Chennai,FRESH,6372,25334,156544,08-07-18
Applications Received - Service Wise,RPO Chennai,PCC,486,1845,14279,08-07-18
Applications Received - Service Wise,RPO Chennai,REISSUE,3622,15110,104370,08-07-18
Applications Granted - PV Mode wise,RPO Chennai,No Verification,1762,7666,62167,08-07-18
Applications Granted - PV Mode wise,RPO Chennai,Post Verification,1753,6922,42609,08-07-18
Applications Granted - PV Mode wise,RPO Chennai,Pre Verification,5676,23607,150383,08-07-18
PV Processing Time,RPO Chennai,More than 21 Days,538,6449,64503,08-07-18
PV Processing Time,RPO Chennai,Within 21 Days,5890,27594,118512,08-07-18
Applications Received - Scheme wise,RPO Cochin,Normal,9595,37613,253075,08-07-18
Applications Received - Scheme wise,RPO Cochin,Tatkaal,696,2880,21470,08-07-18
Applications Received - Gender wise,RPO Cochin,FEMALE,4237,16648,118178,08-07-18
Applications Received - Gender wise,RPO Cochin,MALE,6054,23842,156331,08-07-18
Applications Received - Gender wise,RPO Cochin,TRANSGENDER,0,1,3,08-07-18
